model_name,split,folds,mean_mae,std_mae,mean_rmse,std_rmse,mean_mape,std_mape,mean_medae,mean_r2
naive_district_building_type_median,test,15,15.27702390353756,1.1121426688784755,20.938408901522156,1.3067961789903915,18.77496094943257,0.8279155844898598,11.407542271941669,0.31223529848329395
naive_district_building_type_median,train,15,12.700843815015684,0.7053997451631987,17.461349059052242,0.8530075415337217,18.55562875471863,0.10049770375621467,9.630759969424998,0.4473660351588071
naive_district_building_type_median,valid,15,14.615431517325785,0.9084489020370843,20.095462474340323,0.9889952824328575,18.28586524340641,0.3829571334709571,10.901448627008334,0.3454901058910338
naive_district_median,test,15,16.818208975505232,1.3441549132624007,22.848415557322898,1.6162591619512734,20.773686015187163,0.9911647137766528,12.555779143483331,0.18267678572509538
naive_district_median,train,15,14.286258882943931,0.7856800861357278,19.17106516483424,0.9350092684392509,21.03177002274838,0.1748524511181546,11.277349439358336,0.3337851523430163
naive_district_median,valid,15,16.197174369930813,1.1627937272573758,21.998693444110362,1.324909349283348,20.39643308489448,0.5344856124010902,12.132787423808333,0.21654408287196383
naive_global_median,test,15,20.530496176109516,1.3562426044419387,27.56346236821178,1.6177635301032156,25.821755334915263,1.3618659745772403,15.981498023283331,-0.18929011038193136
naive_global_median,train,15,17.938824484605558,0.9522516753135672,23.766383402084745,1.126704934557511,26.972366999413055,0.06400093614614266,14.443448494183334,-0.02390192440652787
naive_global_median,valid,15,19.87372676055808,1.0385652230020372,26.722687727876018,1.1784552206708052,25.47422750534537,0.37838967263901074,15.438677107000002,-0.15673503461027177
ridge_regression,test,15,10.573833982268805,0.4137950980445727,14.148072053769003,0.5506728626051501,14.896481686440435,0.7556606120738198,8.18510370518839,0.6856775802930212
ridge_regression,train,15,9.531684646693327,0.502873462444166,12.964574699249132,0.620911077150897,14.477220686976812,0.06461250766849182,7.237368877890119,0.6953223406338952
ridge_regression,valid,15,10.384238441628094,0.4006227939875021,13.941223552970204,0.47639153323066025,14.655284718507676,0.42013655559259,8.04379762140005,0.6848088648248135
tree_model,test,15,10.088591252835272,0.554743105050462,13.491043591107251,0.6945524311937437,14.204447236133037,0.7470904648866338,7.79413429811557,0.7146597109578973
tree_model,train,15,6.960084921843939,0.30600296940131405,9.067343798593878,0.364401303862623,10.954698282886689,0.14392744457112153,5.567704604465933,0.8508502562653633
tree_model,valid,15,9.845976784463142,0.4815555320825551,13.186159069532321,0.5890674337439298,13.902161892235707,0.2891793075665462,7.6062589986896985,0.7182217014334487
