feature_group,total_gain_importance,total_split_importance,feature_count,gain_share,split_share
comparable_sales,241208581.08840638,11252.933333333332,22,0.8215703053103022,0.37233150024292283
basic_housing,35426349.5226647,12305.933333333332,26,0.12066418475675057,0.4071726441599872
time_aware_market,11569238.464230347,4674.6,8,0.039405491854295684,0.15467085598737815
other,2490579.969884237,430.84444444444443,19,0.008483058674880058,0.01425556818115531
location_time,2301341.906258848,1330.1104978354979,55,0.007838502942212909,0.04401003920292948
note_flags,598479.7497243246,228.46666666666667,3,0.0020384564615586126,0.007559392225627076
