district,n,y_true_mean,y_pred_mean,mae,rmse,mape,bias
中正區,1948,96.47857767755441,95.0711857971557,14.544758440373613,18.671826630729342,16.202339165866537,-1.4073918803987109
大安區,4125,104.51957694703214,103.25990564543577,12.386751115020994,16.13348251338822,12.50988419003739,-1.259671301596361
信義區,2863,85.89398072345966,85.97856771762149,11.505845589706553,15.849339760339598,14.160587694094714,0.08458699416182613
士林區,3112,69.34104394839461,70.03414477189149,10.528807245523732,14.048301951412812,16.91488263317368,0.6931008234968928
中山區,4765,81.95438278086402,81.32069867168455,9.94393887105589,13.1690261593793,12.539128644422865,-0.6336841091794726
北投區,3566,58.85984093946285,58.9411173637554,9.778165657460308,12.595263000988398,18.527210363732134,0.08127642429256002
松山區,2695,88.8849705547909,88.45092336054495,9.73087669570211,13.052320056994123,11.34118685638299,-0.4340471942459692
南港區,1566,76.52134773154917,77.88275388206861,9.495912625907216,12.4049031954408,14.053185262192436,1.361406150519449
大同區,1552,76.79531598359891,76.55441939266059,9.264712650147375,12.836656425704184,12.825395415559147,-0.2408965909383183
內湖區,4107,70.19029017574897,70.59994070368981,8.060417139089083,10.539946945545974,12.16034812845117,0.40965052794084994
文山區,3648,59.97612822428934,60.355408780248176,7.1727718809293535,9.28387724460943,12.711491369847423,0.3792805559588365
萬華區,2482,61.086374997638,61.72991414275874,6.770612796432349,9.214758214627818,11.922167214675849,0.6435391451207538
