price_segment,n,y_true_mean,y_pred_mean,mae,rmse,mape,bias
0–50 萬/坪,4292,42.46813154770981,52.854889108521114,10.78781985027963,13.739813576307371,27.052267028550624,10.38675756081131
50–80 萬/坪,17334,65.32398724432593,68.42411136303625,8.143658764655795,10.863105148381157,12.70916096717409,3.100124118710312
80–120 萬/坪,12491,94.67691689018393,89.98813904702588,9.985641458283807,12.774960193240453,10.48238308217768,-4.688777843158058
120 萬/坪以上,2312,138.94037155201102,120.44268235067825,20.217253421781155,25.650896977275032,14.360122305121262,-18.49768920133279
