district,n,y_true_mean,y_pred_mean,mae,rmse,mape,bias
中正區,1948,96.47857767755441,94.76472523611507,15.143155514215787,19.0613537282413,16.76961292600059,-1.7138524414393512
大安區,4125,104.51957694703214,102.74526200828988,12.508503362475098,16.246586796035608,12.584632972426538,-1.7743149387422397
信義區,2863,85.89398072345966,85.75506144088595,11.873509286708263,16.386584085036553,14.560342697612908,-0.1389192825737152
士林區,3112,69.34104394839461,69.65063921036915,10.76983597245532,14.215181018684971,17.20336413559721,0.3095952619745494
南港區,1566,76.52134773154917,78.32413218476765,10.25754413572258,13.359561078930005,15.257791522363132,1.8027844532184802
北投區,3566,58.85984093946285,59.182864128816085,10.237565551528485,12.974850211230018,19.471576961512277,0.3230231893532397
中山區,4765,81.95438278086402,81.51054540300055,10.212344253598943,13.380110977120049,12.899699234226366,-0.4438373778634599
松山區,2695,88.8849705547909,88.18742206098749,10.045753760386056,13.398872639553776,11.642762266358702,-0.6975484938034265
大同區,1552,76.79531598359891,76.64055210311281,9.514713060068095,13.224277053088407,13.10652564550477,-0.15476388048610001
內湖區,4107,70.19029017574897,70.53138386595319,8.23745778567645,10.734052945586225,12.379274314304428,0.3410936902042225
文山區,3648,59.97612822428934,60.506949928374006,7.231843438129398,9.363428597148179,12.836799922317555,0.5308217040846673
萬華區,2482,61.086374997638,62.03067267917991,7.048123490544957,9.545784192370894,12.40722229054345,0.9442976815419025
