model_name,split,folds,mean_mae,std_mae,mean_rmse,std_rmse,mean_mape,std_mape,mean_medae,mean_r2
naive_district_building_type_median,test,15,15.27702390353756,1.1121426688784755,20.938408901522156,1.3067961789903915,18.77496094943257,0.8279155844898598,11.407542271941669,0.31223529848329395
naive_district_building_type_median,train,15,12.700843815015684,0.7053997451631987,17.461349059052242,0.8530075415337217,18.55562875471863,0.10049770375621467,9.630759969424998,0.4473660351588071
naive_district_building_type_median,valid,15,14.615431517325785,0.9084489020370843,20.095462474340323,0.9889952824328575,18.28586524340641,0.3829571334709571,10.901448627008334,0.3454901058910338
naive_district_median,test,15,16.818208975505232,1.3441549132624007,22.848415557322898,1.6162591619512734,20.773686015187163,0.9911647137766528,12.555779143483331,0.18267678572509538
naive_district_median,train,15,14.286258882943931,0.7856800861357278,19.17106516483424,0.9350092684392509,21.03177002274838,0.1748524511181546,11.277349439358336,0.3337851523430163
naive_district_median,valid,15,16.197174369930813,1.1627937272573758,21.998693444110362,1.324909349283348,20.39643308489448,0.5344856124010902,12.132787423808333,0.21654408287196383
naive_global_median,test,15,20.530496176109516,1.3562426044419387,27.56346236821178,1.6177635301032156,25.821755334915263,1.3618659745772403,15.981498023283331,-0.18929011038193136
naive_global_median,train,15,17.938824484605558,0.9522516753135672,23.766383402084745,1.126704934557511,26.972366999413055,0.06400093614614266,14.443448494183334,-0.02390192440652787
naive_global_median,valid,15,19.87372676055808,1.0385652230020372,26.722687727876018,1.1784552206708052,25.47422750534537,0.37838967263901074,15.438677107000002,-0.15673503461027177
ridge_regression,test,15,12.379354981941345,0.6252587247884905,16.33865498363084,0.7645556307759738,17.19504145016654,0.9458851118125402,9.840493896751374,0.5810355912348429
ridge_regression,train,15,11.193345600379978,0.4780647948558271,14.941988083280119,0.5950560096994124,16.923110491914546,0.20325985044199504,8.783596741140178,0.5949615131193406
ridge_regression,valid,15,12.099462491259446,0.4215399550587866,16.0168161849007,0.4423883354802768,16.880152040077714,0.4713328691410064,9.587281801195353,0.5836799667026384
tree_model,test,15,10.470439080493252,0.7594125847971883,13.95596074702848,0.9188266879081544,13.976414172290657,0.6293896034867982,8.174977633289139,0.6928150460609247
tree_model,train,15,7.4189194481411285,0.4072248699019873,9.779092576526947,0.503210480466446,11.525587061666718,0.0674271432250556,5.863872495534133,0.8267042746010245
tree_model,valid,15,10.00485033645155,0.5020297030035104,13.358469257985979,0.6144856681994083,13.586509881701136,0.2756944512506515,7.771185530276036,0.7104193681433171
