param_id,split,folds,total_n,mean_mae,std_mae,weighted_mae,mean_rmse,weighted_rmse,mean_mape,weighted_mape,mean_medae,mean_r2,num_leaves,min_child_samples,learning_rate,n_estimators,subsample,colsample_bytree,rank_by_selection_mae
11,test,15,36429,9.92275495675682,0.5685100356578847,9.853041291018826,13.324229554946218,13.258294627510598,13.944103888425484,13.740288674969303,7.617190416348431,0.7217849564291315,63,50,0.03,1000,0.8,0.8,1
11,train,15,562223,5.501549863785749,0.16704370068886498,5.4888719725727295,7.215177237259733,7.200942157979515,8.719340102297648,8.743073080712751,4.350616980739698,0.9053874341284359,63,50,0.03,1000,0.8,0.8,1
11,valid,15,78933,9.671203960345851,0.5206532891277886,9.672928612625757,13.029481140067109,13.044935910469475,13.63656415121371,13.5951232471142,7.37828754733052,0.7248886610882479,63,50,0.03,1000,0.8,0.8,1
