param_id,split,folds,total_n,mean_mae,std_mae,weighted_mae,mean_rmse,weighted_rmse,mean_mape,weighted_mape,mean_medae,mean_r2,num_leaves,min_child_samples,learning_rate,n_estimators,subsample,colsample_bytree,rank_by_selection_mae
1,test,15,36429,10.02040183277427,0.5527269593772479,9.955682011732941,13.438575122320293,13.384567408554679,14.117922813585468,13.914606032118632,7.68313416172204,0.7168949637744472,15,10,0.03,1000,0.8,0.8,16
1,train,15,562223,7.8669069769939375,0.4196449995213375,7.829944834281829,10.344880879576946,10.301342225962664,12.251318002504137,12.255022488369189,6.196937348372478,0.8060084233982729,15,10,0.03,1000,0.8,0.8,16
1,valid,15,78933,9.78831328126994,0.5146755948986115,9.795307213534269,13.150873006018445,13.17296428151448,13.833791539821338,13.797861232772872,7.517150873834548,0.7197657454078118,15,10,0.03,1000,0.8,0.8,16
2,test,15,36429,10.018132521931866,0.5405808127384996,9.951627372277033,13.433188855757857,13.378782679692783,14.106227308792876,13.90475481407667,7.685848825515038,0.7170964834245669,15,20,0.03,1000,0.8,0.8,15
2,train,15,562223,7.87310035215939,0.41952450895955307,7.836063635915715,10.395292340179454,10.351625947265173,12.248124318320887,12.251871267030145,6.178879309524692,0.8041111385803412,15,20,0.03,1000,0.8,0.8,15
2,valid,15,78933,9.778416363242666,0.49547960644805894,9.784491054360435,13.135124681637727,13.157633768110847,13.827892606118702,13.790535936502659,7.50541365280416,0.7204301457486021,15,20,0.03,1000,0.8,0.8,15
3,test,15,36429,9.994754438733132,0.5266841723357978,9.933703830835702,13.406015561117151,13.355171575853587,14.079186478598876,13.879164845698767,7.663749028735599,0.7181782521824973,15,50,0.03,1000,0.8,0.8,14
3,train,15,562223,7.911667565377149,0.4280595537793043,7.873892293924339,10.501915157846433,10.45694553040563,12.275645944648394,12.278496897449783,6.173964706081724,0.8000861400284364,15,50,0.03,1000,0.8,0.8,14
3,valid,15,78933,9.769195805407158,0.49870276497294275,9.775346952937609,13.129225715335147,13.150450194298163,13.804042983656293,13.766965496985426,7.480451026270597,0.7206716535917331,15,50,0.03,1000,0.8,0.8,14
4,test,15,36429,9.983452456231909,0.5498317645759421,9.920101932784018,13.38588324712853,13.333085435547385,14.054269188710682,13.853611986835704,7.685301870621879,0.7191186696723626,15,100,0.03,1000,0.8,0.8,12
4,train,15,562223,7.959137374111195,0.4340659488548062,7.920742614648249,10.611776239647837,10.566004764143514,12.316380454491371,12.317906051520538,6.18901019985101,0.7958849741286855,15,100,0.03,1000,0.8,0.8,12
4,valid,15,78933,9.766141313140249,0.49306629868670887,9.77229091681709,13.122996234810637,13.147415071585305,13.795965302276462,13.758594652878593,7.4943005759027415,0.7209436451998986,15,100,0.03,1000,0.8,0.8,12
5,test,15,36429,9.96251295620389,0.570562426014482,9.894273721950887,13.374341400426605,13.314723050944133,14.034401928405414,13.825334062489745,7.660295684359812,0.7197303543729102,31,10,0.03,1000,0.8,0.8,10
5,train,15,562223,6.826433101835399,0.30921742746173414,6.799884076355061,8.865608157481024,8.834600587267383,10.772280710960029,10.784531507849353,5.467111169237769,0.8574216867288015,31,10,0.03,1000,0.8,0.8,10
5,valid,15,78933,9.722591278355889,0.5194863396861079,9.725889137959154,13.080177857150513,13.100301044840753,13.730599589167536,13.69024446397873,7.449383422083587,0.7227645841668218,31,10,0.03,1000,0.8,0.8,10
6,test,15,36429,9.96226453717217,0.5550408806637295,9.895099042038394,13.367123560278284,13.306148277989825,14.018887350919679,13.820730881969704,7.618680461926868,0.719930935063786,31,20,0.03,1000,0.8,0.8,9
6,train,15,562223,6.841556040131618,0.3098405739576253,6.814920780241032,8.939229603234443,8.908100285917186,10.776248854519391,10.788542671397554,5.441617191502524,0.8550406837676593,31,20,0.03,1000,0.8,0.8,9
6,valid,15,78933,9.711930464688729,0.5088947632929934,9.716738390932424,13.066306641202964,13.086005770120318,13.713331017143794,13.67356913197068,7.445647393287714,0.723333128987146,31,20,0.03,1000,0.8,0.8,9
7,test,15,36429,9.937667466808795,0.5575276723500532,9.87392115873461,13.349186291859002,13.291837055981228,13.985309912908825,13.784158026419805,7.595072240425738,0.7206868843842799,31,50,0.03,1000,0.8,0.8,3
7,train,15,562223,6.921764787733668,0.315221648750546,6.894453544717439,9.106268193339483,9.07445659528059,10.853804089855352,10.865496362111935,5.461307412647114,0.8495719061188829,31,50,0.03,1000,0.8,0.8,3
7,valid,15,78933,9.699993017617883,0.5034501824836582,9.705099080527113,13.055915220415029,13.077133967260032,13.692970026015614,13.653976302210955,7.415843854343191,0.7237819071220486,31,50,0.03,1000,0.8,0.8,3
8,test,15,36429,9.939028766286762,0.5476879216923601,9.878457961859972,13.335941625462238,13.276178023927802,13.977657358585295,13.786957009522153,7.663730056361895,0.7212843344632499,31,100,0.03,1000,0.8,0.8,4
8,train,15,562223,7.027845522290692,0.3329893412607341,6.998845948247541,9.301902726307583,9.268118845787587,10.964430195921178,10.97339911720464,5.5051620275471755,0.8430623231675382,31,100,0.03,1000,0.8,0.8,4
8,valid,15,78933,9.710766310211392,0.5086817617160818,9.713022531162753,13.058500630455313,13.076416505236475,13.70553998461765,13.662664622183403,7.434728490629499,0.7236786847185764,31,100,0.03,1000,0.8,0.8,4
9,test,15,36429,9.935818596880473,0.5708577554894569,9.881095007171615,13.35397109913182,13.299377447892155,13.989205179884209,13.798585306042272,7.627442166431567,0.7206212756326836,63,10,0.03,1000,0.8,0.8,2
9,train,15,562223,5.347833182174764,0.15624209922807933,5.336195255297126,6.911298914572682,6.897986539120056,8.546749047923047,8.571390823986777,4.307031809419824,0.9131836246493124,63,10,0.03,1000,0.8,0.8,2
9,valid,15,78933,9.698518139887575,0.524606808856467,9.700506710980552,13.062119355131054,13.080752858863166,13.690984507731919,13.64588017764155,7.427219637066942,0.7235640392891651,63,10,0.03,1000,0.8,0.8,2
10,test,15,36429,9.941077117122536,0.5859288567128962,9.871532968337233,13.348180738364828,13.275768836819902,13.99216839673878,13.781254592012301,7.631063020987218,0.7208709061539086,63,20,0.03,1000,0.8,0.8,5
10,train,15,562223,5.369498899858841,0.15681535929992574,5.357831241553122,6.994501496177951,6.981089147092221,8.562818762249993,8.587730031267714,4.2799380494819745,0.9110789275848915,63,20,0.03,1000,0.8,0.8,5
10,valid,15,78933,9.67646421821421,0.5217546759391671,9.676750869347194,13.039389088301537,13.053650944911091,13.654933891205447,13.608543203270038,7.3882004507672425,0.7244975875524772,63,20,0.03,1000,0.8,0.8,5
11,test,15,36429,9.92275495675682,0.5685100356578847,9.853041291018826,13.324229554946218,13.258294627510598,13.944103888425484,13.740288674969303,7.617190416348431,0.7217849564291315,63,50,0.03,1000,0.8,0.8,1
11,train,15,562223,5.501549863785749,0.16704370068886498,5.4888719725727295,7.215177237259733,7.200942157979515,8.719340102297648,8.743073080712751,4.350616980739698,0.9053874341284359,63,50,0.03,1000,0.8,0.8,1
11,valid,15,78933,9.671203960345851,0.5206532891277886,9.672928612625757,13.029481140067109,13.044935910469475,13.63656415121371,13.5951232471142,7.37828754733052,0.7248886610882479,63,50,0.03,1000,0.8,0.8,1
12,test,15,36429,9.949460975756978,0.5711098782731006,9.881643362490694,13.340531708571843,13.280605490402905,13.971576502025464,13.768453895345624,7.662336976143054,0.7210823743186269,63,100,0.03,1000,0.8,0.8,6
12,train,15,562223,5.680856644134844,0.18822360208266742,5.66578531556724,7.493316766403165,7.476355761422236,8.944229543952728,8.964819629189835,4.462667535415218,0.897990720132509,63,100,0.03,1000,0.8,0.8,6
12,valid,15,78933,9.70042316265766,0.5174961299552406,9.70399640129604,13.044415001147991,13.062239159904822,13.669941737950468,13.630555637416037,7.436996246089495,0.7242834113069105,63,100,0.03,1000,0.8,0.8,6
13,test,15,36429,9.96758292464101,0.5886776446697686,9.897587456385493,13.377555673322426,13.32033945385173,14.023837687919304,13.809199489670892,7.63699893724024,0.7195944332954755,127,10,0.03,1000,0.8,0.8,11
13,train,15,562223,3.456763904376493,0.07946496213826844,3.4617860452365408,4.494193974546364,4.500822404106008,5.582351176984847,5.619099948471379,2.7577693468827507,0.9630692238245403,127,10,0.03,1000,0.8,0.8,11
