test_quarter,n,mae,rmse,mape,r2,bias,y_true_mean,y_pred_mean,error_std,abs_error_median
2022Q3,969,9.825632636041725,13.019451385750529,14.594574175234118,0.6922632800833739,-1.0141312546748034,71.877552934064,70.86342167938918,12.986596911645497,8.058448157991464
2022Q4,1855,9.667898745295725,12.845126533988687,14.491743896041989,0.7124681417991781,0.48418167244819277,72.19184189417358,72.67602356662177,12.839459203176139,7.341216724067365
2023Q1,2572,9.299542020110941,12.575629097218684,14.011203031321056,0.6979200267188497,0.22183455788117323,71.25728702105113,71.47912157893231,12.576117410678844,7.159921989650982
2023Q2,3175,9.834300579891782,13.166847900495185,14.263573229817595,0.6938827216026922,-0.2237689083389341,73.26108170640882,73.03731279806989,13.167020010839872,7.545384452592678
2023Q3,3144,9.639692117474686,13.085899477607684,13.723486595618533,0.72734090474059,-0.3912880783833149,74.73679319341667,74.34550511503335,13.082128775004882,7.325107228786038
2023Q4,3475,9.670133196402093,12.910908877117677,13.660532630658285,0.7162096677870129,-0.6825914555105728,74.95706288861655,74.27447143310597,12.89470765171176,7.594632068486163
2024Q1,3482,10.28583755413993,13.936820211950566,14.284701294796545,0.7115503910497013,-1.2228361762506346,77.23936395358142,76.01652777733078,13.885063858210838,8.033179228966098
2024Q2,4025,10.285713090453852,13.609372432196913,13.543846609748172,0.7127647407329685,-1.5272323042392701,79.97911651210174,78.45188420786248,13.525088814653245,7.888750458966506
2024Q3,2827,10.614495881587667,14.212204389938064,13.86832435692,0.6945249239203193,-1.2849789865998067,81.42117665711336,80.13619767051357,14.156499312400568,8.325835224641168
2024Q4,2204,10.81918274572967,14.43154810222074,15.300010566645136,0.6679812691214023,1.8045682936662213,78.9992872836606,80.80385557732684,14.321528367393409,8.453417314360951
2025Q1,2098,10.797683771233332,14.148416510339285,14.664740779935395,0.6906346715372258,0.851151494962456,81.08927332625501,81.94042482121748,14.126158164491702,8.837730396562677
2025Q2,2307,10.438262171687292,13.844970279642286,14.379694415401811,0.7181982824712523,1.289811078948389,80.69910475570482,81.9889158346532,13.787747882638456,8.287690691554893
2025Q3,2037,10.13224504561179,13.365163125261175,13.672535385463538,0.7414229463671558,1.1654598091731998,81.86343473567699,83.02889454485017,13.317520648705239,8.14885440468538
2025Q4,1904,10.696903001844117,14.392142683774207,14.163421469323751,0.7115524294636846,0.9661858952911069,82.15141333712867,83.11759923241979,14.363447051766014,8.168875905699146
2026Q1,355,11.458735795040518,15.391724114654568,16.557815388961345,0.7241256117878694,0.6797985701618333,81.46990824740422,82.14970681756606,15.398407818089977,8.41229339972324
