district,n,mae,rmse,mape,r2,bias,y_true_mean,y_pred_mean,error_std,abs_error_median
中正區,1948,15.143155514215787,19.0613537282413,16.76961292600059,0.5793122925660729,-1.7138524414393512,96.47857767755441,94.76472523611507,18.98902367110574,12.49378586977668
大安區,4125,12.508503362475098,16.246586796035608,12.584632972426538,0.5646608400342172,-1.7743149387422397,104.51957694703214,102.74526200828988,16.15136617795177,10.081213450237314
信義區,2863,11.873509286708263,16.386584085036553,14.560342697612908,0.5081098892487002,-0.1389192825737152,85.89398072345966,85.75506144088595,16.388857654388968,8.604412045552124
士林區,3112,10.76983597245532,14.215181018684971,17.20336413559721,0.5833431390686061,0.3095952619745494,69.34104394839461,69.65063921036915,14.214093189154829,8.784755626249005
南港區,1566,10.25754413572258,13.359561078930005,15.257791522363132,0.5719671050659604,1.8027844532184802,76.52134773154917,78.32413218476765,13.241593828089611,8.37586338828443
北投區,3566,10.237565551528485,12.974850211230018,19.471576961512277,0.5420527222531315,0.3230231893532397,58.85984093946285,59.182864128816085,12.972647641880721,8.816476039007643
中山區,4765,10.212344253598943,13.380110977120049,12.899699234226366,0.589863328865314,-0.4438373778634599,81.95438278086402,81.51054540300055,13.374151038656992,8.251625116763108
松山區,2695,10.045753760386056,13.398872639553776,11.642762266358702,0.5509077129902507,-0.6975484938034265,88.8849705547909,88.18742206098749,13.38318624618835,7.596716490662885
大同區,1552,9.514713060068095,13.224277053088407,13.10652564550477,0.6334963360902843,-0.15476388048610001,76.79531598359891,76.64055210311281,13.227633586823192,6.983829753007775
內湖區,4107,8.23745778567645,10.734052945586225,12.379274314304428,0.5783813243850607,0.3410936902042225,70.19029017574897,70.53138386595319,10.729938524766276,6.730411872066625
文山區,3648,7.231843438129398,9.363428597148179,12.836799922317555,0.6188406587310853,0.5308217040846673,59.97612822428934,60.506949928374006,9.349651658102593,5.783004812517966
萬華區,2482,7.048123490544957,9.545784192370894,12.40722229054345,0.5949551254501242,0.9442976815419025,61.086374997638,62.03067267917991,9.500877130865225,5.4067989137541765
