column,missing_count,missing_ratio,min,mean,median,max
district_median_price_180d,56,0.0006189144682308993,27.408759302750003,67.18087823436653,65.08297276600001,145.36974661475
district_median_price_365d,39,0.00043102971894651916,27.605618799500004,66.68310329148882,64.4737165905,169.48958042100003
district_count_180d,0,0.0,0.0,571.7478255103281,550.0,1163.0
district_type_median_price_180d,130,0.0014367657298217306,27.408759302750003,67.97930797627372,65.637022332,153.043961203
district_type_median_price_365d,99,0.0010941523634796254,27.425784095500003,67.40446182208701,64.82693971775001,169.48958042100003
district_type_count_180d,0,0.0,0.0,195.4216796896586,184.0,599.0
district_price_change_180_365,56,0.0006189144682308993,-0.6721725331794576,0.007287697917323649,0.008098089824397636,0.44769574141160384
district_type_price_change_180_365,130,0.0014367657298217306,-0.4586476741514556,0.00863209129048717,0.00721254980572672,0.6800949288462035
