feature,missing_count,missing_ratio,min,mean,median,max
comp_365d_count,0,0.0,0.0,9.957504890529503,10.0,10.0
comp_365d_median_price,99,0.0010941523634796254,25.96875935675,68.81713859663031,65.9745429805,172.07635718350002
comp_365d_mean_price,99,0.0010941523634796254,27.425784095500003,69.466426038705,66.645468575175,169.48958042100003
comp_365d_weighted_mean_price,99,0.0010941523634796254,27.425784095500003,69.52866780524656,66.6531142782835,169.48958042100003
comp_365d_std_price,99,0.0010941523634796254,0.0,11.733449559089713,10.626304899601518,51.9501436893689
comp_365d_nearest_price,99,0.0010941523634796254,20.782478559500003,69.70692471793357,66.11090661175001,175.65586118150003
comp_365d_nearest_distance,99,0.0010941523634796254,0.0005616344594150903,0.07072835300473801,0.058563702025112865,1.8947967736746179
comp_365d_median_distance,99,0.0010941523634796254,0.018275864240645825,0.12309135083563513,0.10952180496692626,2.1849051933378334
comp_365d_median_days_diff,99,0.0010941523634796254,1.0,49.713925339116194,42.5,355.0
comp_365d_median_area_diff_pct,99,0.0010941523634796254,0.0,0.0884548328418554,0.0668779112602261,5.779898218829517
comp_365d_median_age_diff,6947,0.07677855019285817,0.005475701574264191,3.67262637728514,2.7118412046543465,44.0082135523614
comp_730d_count,0,0.0,0.0,9.964312949680043,10.0,10.0
comp_730d_median_price,77,0.0008510073938174865,25.96875935675,68.61836315406464,65.633468613125,172.07635718350002
comp_730d_mean_price,77,0.0008510073938174865,27.425784095500003,69.21822659104295,66.29475784452501,169.48958042100003
comp_730d_weighted_mean_price,77,0.0008510073938174865,27.425784095500003,69.29374625155448,66.31590162656555,169.67560990824305
comp_730d_std_price,77,0.0008510073938174865,0.0,11.44741200238281,10.342427762366,53.38040760250908
comp_730d_nearest_price,77,0.0008510073938174865,20.833718227,69.58483982970571,66.00181570675001,175.65586118150003
comp_730d_nearest_distance,77,0.0008510073938174865,0.0002876618566753642,0.059821829885449436,0.04775553479072644,3.623959748255943
comp_730d_median_distance,77,0.0008510073938174865,0.015262165610508839,0.10335657271891854,0.08910067237543359,4.237896792051564
comp_730d_median_days_diff,77,0.0008510073938174865,1.0,76.48637781514093,65.0,699.5
comp_730d_median_area_diff_pct,77,0.0008510073938174865,0.0,0.07231685309486328,0.05314527058874355,11.025091240875913
comp_730d_median_age_diff,6948,0.07678960223693372,0.005475701574264191,3.172878555056008,2.303901437371664,44.0082135523614
