current_id,current_trade_date,current_district,current_building_type,current_unit_price_ping,current_building_area_ping,current_building_age,candidate_rank,candidate_id,candidate_trade_date,candidate_unit_price_ping,candidate_building_area_ping,candidate_building_age,candidate_distance,candidate_days_diff,candidate_area_diff_pct,candidate_age_diff
RPOSMLQJQHOFFDA68CA,2019-05-26,南港區,公寓(5樓含以下無電梯),45.67338671700001,30.65232614946223,,1,RPOPMLMJNHOFFDA77DA,2019-04-03,31.892891366,30.727951152298164,,0.154904611137623,53.0,0.0024671864206058445,
RPOSMLQJQHOFFDA68CA,2019-05-26,南港區,公寓(5樓含以下無電梯),45.67338671700001,30.65232614946223,,2,RPSNMLQLOHOFFDA58CA,2019-05-18,49.3960312055,29.35460110079754,43.84394250513347,0.15920148328599487,8.0,0.04233691897759791,
RPOSMLQJQHOFFDA68CA,2019-05-26,南港區,公寓(5樓含以下無電梯),45.67338671700001,30.65232614946223,,3,RPPNMLOJQHOFFDA08CA,2019-05-22,41.093552178,32.24347620913036,32.77481177275838,0.16536014162325996,4.0,0.051909602289548995,
RPQPMLTKNHGGFDA08DA,2021-04-12,南港區,公寓(5樓含以下無電梯),55.842973112500005,16.295675611087834,43.43600273785079,1,RPVOMLLKOHGGFDA87EA,2021-03-29,66.9140470775,17.036800638880024,43.14579055441479,0.025040244415759846,14.0,0.04547985891962141,0.2902121834360045
RPQPMLTKNHGGFDA08DA,2021-04-12,南港區,公寓(5樓含以下無電梯),55.842973112500005,16.295675611087834,43.43600273785079,2,RPXQMLNLMHGGFDA38EA,2021-03-12,66.73289005950001,17.5026506563494,44.70088980150582,0.0742342562723223,31.0,0.07406719881195477,1.2648870636550242
RPQPMLTKNHGGFDA08DA,2021-04-12,南港區,公寓(5樓含以下無電梯),55.842973112500005,16.295675611087834,43.43600273785079,3,RPXNMLNLMHGGFDA08EA,2021-03-21,60.3547084805,18.22562568346096,43.83299110198495,0.10549137918510218,22.0,0.11843326526823837,0.3969883641341596
RPOPMLSJMHGGFDA57DA,2021-03-31,南港區,公寓(5樓含以下無電梯),63.760658766000006,23.525425882203468,,1,RPSOMLSJOHGGFDA18EA,2021-03-19,62.130906761000006,24.14252590534472,39.27720739219713,0.1507562605575626,12.0,0.026231194548026256,
RPOPMLSJMHGGFDA57DA,2021-03-31,南港區,公寓(5樓含以下無電梯),63.760658766000006,23.525425882203468,,2,RPQNNLTKMHGGFDA87DA,2021-02-27,42.2039653595,24.52367591963784,,0.15738573172385723,32.0,0.0424328147100422,
RPOPMLSJMHGGFDA57DA,2021-03-31,南港區,公寓(5樓含以下無電梯),63.760658766000006,23.525425882203468,,3,RPQOMLQJNHGGFDA57DA,2021-03-30,47.9745436555,25.55520095832004,35.657768651608485,0.16574596500745975,1.0,0.08628005657708655,
RPXOMLQKJIGGFDA18EA,2021-10-17,南港區,公寓(5樓含以下無電梯),67.14379913500001,26.063400977377533,46.4394250513347,1,RPTOMLSJKIGGFDA87DA,2021-09-18,70.76363371,25.86072596977722,48.681724845995895,0.054823590526453345,29.0,0.007776230269266472,2.242299794661193
RPXOMLQKJIGGFDA18EA,2021-10-17,南港區,公寓(5樓含以下無電梯),67.14379913500001,26.063400977377533,46.4394250513347,2,RPQOMLOKIIGGFDA17EA,2021-09-24,61.644956366,24.91692593438472,45.90828199863108,0.05565423029130963,23.0,0.043987929433611794,0.5311430527036194
RPXOMLQKJIGGFDA18EA,2021-10-17,南港區,公寓(5樓含以下無電梯),67.14379913500001,26.063400977377533,46.4394250513347,3,RPVOMLMKIIGGFDA37DA,2021-10-02,45.479006559,23.967075898765344,47.51540041067762,0.0667501690850345,15.0,0.08043175487465176,1.0759753593429195
RPPPMLRLPHGGFEA18DA,2021-06-23,士林區,華廈(10層含以下有電梯),62.013881972,24.671900925196283,43.38398357289528,1,RPSNMLLLOHGGFEA67EA,2021-06-07,76.896526042,26.00895097533566,36.25188227241616,0.06482383241039896,16.0,0.054193231976459116,7.132101300479121
RPPPMLRLPHGGFEA18DA,2021-06-23,士林區,華廈(10層含以下有電梯),62.013881972,24.671900925196283,43.38398357289528,2,RPRNMLKMOHGGFEA47DA,2021-06-05,46.9431387355,28.33215106245566,39.89596167008898,0.08065665785849642,18.0,0.14835703776360956,3.4880219028063024
RPPPMLRLPHGGFEA18DA,2021-06-23,士林區,華廈(10層含以下有電梯),62.013881972,24.671900925196283,43.38398357289528,3,RPSNMLTJQHGGFEA38DA,2021-06-18,66.7170222915,24.281675910562843,44.61327857631759,0.08442200290816748,5.0,0.015816576753310538,1.2292950034223082
RPTNMLSLMHHGFEA28DA,2022-03-10,士林區,華廈(10層含以下有電梯),66.77950162799999,50.91377690926663,44.81587953456537,1,RPVOMLNLKHHGFEA87DA,2022-01-21,50.94214685,47.701226788796,44.08761122518823,0.09488410356892568,48.0,0.0630978551482384,0.7282683093771354
RPTNMLSLMHHGFEA28DA,2022-03-10,士林區,華廈(10層含以下有電梯),66.77950162799999,50.91377690926663,44.81587953456537,2,RPUNMLNJNHHGFEA77DA,2022-02-25,79.09487306700001,47.53787678267038,36.69267624914442,0.09951790990225383,13.0,0.06630622066425039,8.12320328542095
RPTNMLSLMHHGFEA28DA,2022-03-10,士林區,華廈(10層含以下有電梯),66.77950162799999,50.91377690926663,44.81587953456537,3,RPVNMLRJJHHGFEA87DA,2021-12-09,58.7765267215,51.040826914031,44.27104722792608,0.09988913505086794,91.0,0.002495395401342674,0.544832306639286
RPQQMLTKJINFFEA48CA,2018-10-11,士林區,公寓(5樓含以下無電梯),35.039337529,36.38772636453974,37.379876796714576,1,RPVOMLQLJINFFEA58CA,2018-10-06,47.712394905,36.67812637542973,38.1492128678987,0.029379656030004937,5.0,0.00798071327624876,0.7693360711841208
RPQQMLTKJINFFEA48CA,2018-10-11,士林區,公寓(5樓含以下無電梯),35.039337529,36.38772636453974,37.379876796714576,2,RPWNMLTKJINFFEA78CA,2018-09-24,53.71239468,34.44265129159942,36.95824777549623,0.05013216696194925,17.0,0.05345415246487667,0.4216290212183438
