district,n,mae,rmse,mape,r2,bias,y_true_mean,y_true_median,y_pred_mean
中正區,1948,14.544758440373613,18.671826630729342,16.20233916586654,0.5963304848669551,-1.4073918803987109,96.47857767755441,90.09801315025001,95.0711857971557
大安區,4125,12.386751115020994,16.13348251338822,12.509884190037388,0.5707011647826035,-1.259671301596361,104.51957694703214,100.1398309555,103.25990564543577
信義區,2863,11.505845589706553,15.849339760339598,14.160587694094714,0.5398350029456789,0.08458699416182613,85.89398072345966,82.06479031100001,85.97856771762149
士林區,3112,10.528807245523732,14.048301951412812,16.91488263317368,0.5930684006688473,0.6931008234968928,69.34104394839461,65.2003281335,70.03414477189149
中山區,4765,9.94393887105589,13.1690261593793,12.539128644422863,0.6027018966869726,-0.6336841091794726,81.95438278086402,78.3884268125,81.32069867168455
北投區,3566,9.778165657460308,12.595263000988398,18.527210363732134,0.568455826954192,0.08127642429256002,58.85984093946285,56.950906955250005,58.9411173637554
松山區,2695,9.73087669570211,13.052320056994123,11.341186856382992,0.5738382104850521,-0.4340471942459692,88.8849705547909,85.708426538,88.45092336054495
南港區,1566,9.495912625907216,12.4049031954408,14.053185262192434,0.6309548300115375,1.361406150519449,76.52134773154917,75.57338559575001,77.88275388206861
大同區,1552,9.264712650147375,12.836656425704184,12.825395415559143,0.6546668446054613,-0.2408965909383183,76.79531598359891,73.61107161975,76.55441939266059
內湖區,4107,8.060417139089083,10.539946945545974,12.16034812845117,0.5934918818332666,0.40965052794084994,70.19029017574897,68.118344553,70.59994070368981
文山區,3648,7.1727718809293535,9.28387724460943,12.71149136984742,0.6252897782189966,0.3792805559588365,59.97612822428934,57.87933667250001,60.355408780248176
萬華區,2482,6.770612796432349,9.214758214627818,11.922167214675849,0.6225601021576632,0.6435391451207538,61.086374997638,60.2998324495,61.72991414275874
