id,trade_date,district,building_type,text_representation
RPTSMLMLJHOFFCA18CA,2019-01-06,中山區,套房(1房1廳1衛),"行政區：中山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：37.25 年
建物坪數：11.07 坪
主建物坪數：7.98 坪
樓層：11 / 12
樓層比例：0.92
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPOOMLSLLHOFFEA38DA,2019-01-10,北投區,公寓(5樓含以下無電梯),"行政區：北投區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：23.55 年
建物坪數：62.94 坪
主建物坪數：30.69 坪
樓層：3 / 10
樓層比例：0.30
格局：4 房 2 廳 2 衛
車位：有
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPRTMLSLJHOFFCA78DA,2019-01-07,中山區,住宅大樓(11層含以上有電梯),"行政區：中山區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：34.28 年
建物坪數：26.66 坪
主建物坪數：20.87 坪
樓層：8 / 13
樓層比例：0.62
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPTNMLLLJHOFFBA47CA,2019-01-03,中正區,華廈(10層含以下有電梯),"行政區：中正區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：42.51 年
建物坪數：57.46 坪
主建物坪數：46.34 坪
樓層：7 / 7
樓層比例：1.00
格局：0 房 0 廳 0 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPTPMLTKJHOFFCA48CA,2019-01-07,內湖區,華廈(10層含以下有電梯),"行政區：內湖區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：24.02 年
建物坪數：33.68 坪
主建物坪數：23.31 坪
樓層：3 / 8
樓層比例：0.38
格局：3 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPSNMLLLJHOFFAA27CA,2019-01-02,文山區,華廈(10層含以下有電梯),"行政區：文山區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：2.38 年
建物坪數：20.48 坪
主建物坪數：10.25 坪
樓層：7 / 8
樓層比例：0.88
格局：1 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPPNMLLLJHOFFBA07CA,2019-01-06,中正區,華廈(10層含以下有電梯),"行政區：中正區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：22.37 年
建物坪數：18.56 坪
主建物坪數：6.00 坪
樓層：3 / 9
樓層比例：0.33
格局：2 房 1 廳 1 衛
車位：有
車位面積：15.13
管理組織：有
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPXOMLLLJHOFFEA28CA,2019-01-10,北投區,公寓(5樓含以下無電梯),"行政區：北投區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：39.90 年
建物坪數：20.38 坪
主建物坪數：19.24 坪
樓層：5 / 5
樓層比例：1.00
格局：3 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPQNMLTLJHOFFEA28CA,2019-01-03,北投區,公寓(5樓含以下無電梯),"行政區：北投區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：31.66 年
建物坪數：28.07 坪
主建物坪數：22.62 坪
樓層：2 / 5
樓層比例：0.40
格局：3 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPVNMLMLJHOFFCA87CA,2019-01-04,中山區,套房(1房1廳1衛),"行政區：中山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：23.37 年
建物坪數：11.95 坪
主建物坪數：8.72 坪
樓層：5 / 9
樓層比例：0.56
格局：0 房 0 廳 0 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPQOMLNKKHOFFEA77CA,2019-01-03,士林區,套房(1房1廳1衛),"行政區：士林區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：1.97 年
建物坪數：31.18 坪
主建物坪數：11.24 坪
樓層：7 / 12
樓層比例：0.58
格局：1 房 1 廳 1 衛
車位：有
車位面積：22.90
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
