current_id,current_trade_date,candidate_rank,candidate_id,candidate_trade_date,similarity
RPVNMLMLKINFFDA08CA,2018-11-08,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.9919517
RPVNMLMLKINFFDA08CA,2018-11-08,3,RPUOMLMLJINFFDA08DA,2018-06-30,0.99185055
RPQNMLTJKINFFDA08CA,2018-11-11,1,RPQPMLQKJINFFDA08DA,2018-10-07,0.9797128
RPQNMLTJKINFFDA08CA,2018-11-11,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.9790483
RPQNMLTJKINFFDA08CA,2018-11-11,3,RPRNMLMKKINFFDA57CA,2018-09-17,0.97783643
RPQOMLNKKINFFDA67CA,2018-11-12,1,RPPNMLPJKINFFDA57CA,2018-10-16,0.9882334
RPQOMLNKKINFFDA67CA,2018-11-12,2,RPSNMLKLJINFFDA47CA,2018-11-02,0.9823292
RPQOMLNKKINFFDA67CA,2018-11-12,3,RPSOMLRKKINFFDA28CA,2018-09-08,0.97449046
RPVOMLNKKINFFDA18CA,2018-11-15,1,RPXOMLNLJINFFDA38CA,2018-10-15,0.9818909
RPVOMLNKKINFFDA18CA,2018-11-15,2,RPWOMLOJJHOFFDA18CA,2018-09-23,0.9750758
RPVOMLNKKINFFDA18CA,2018-11-15,3,RPXOMLMKJINFFDA18CA,2018-10-01,0.97402793
RPOQMLNJJHOFFDA47CA,2018-11-16,1,RPOOMLOKJINFFDA57DA,2018-08-29,0.97368336
RPOQMLNJJHOFFDA47CA,2018-11-16,2,RPSNMLKLJINFFDA47CA,2018-11-02,0.96844983
RPOQMLNJJHOFFDA47CA,2018-11-16,3,RPQNMLSJJHOFFDA87CA,2018-11-06,0.96811104
RPQNMLRKKINFFDA97CA,2018-11-18,1,RPXOMLPJKINFFDA48CA,2018-10-26,0.9889991
RPQNMLRKKINFFDA97CA,2018-11-18,2,RPXOMLNLJINFFDA38CA,2018-10-15,0.9802516
RPQNMLRKKINFFDA97CA,2018-11-18,3,RPXOMLKLKINFFDA18CA,2018-11-04,0.9799292
RPRQMLQKJHOFFDA28DA,2018-11-21,1,RPSNMLRKJINFFDA18DA,2018-10-02,0.98855644
RPRQMLQKJHOFFDA28DA,2018-11-21,2,RPUOMLMLJINFFDA08DA,2018-06-30,0.9884247
RPRQMLQKJHOFFDA28DA,2018-11-21,3,RPVNMLMLKINFFDA08CA,2018-11-08,0.98805505
RPWPMLSLKINFFDA98CA,2018-11-25,1,RPQPMLQKJINFFDA08DA,2018-10-07,0.98499906
RPWPMLSLKINFFDA98CA,2018-11-25,2,RPRNMLMKKINFFDA57CA,2018-09-17,0.98380584
RPWPMLSLKINFFDA98CA,2018-11-25,3,RPPOMLOKJINFFDA67DA,2018-08-29,0.98328733
RPOPMLOKKINFFDA67CA,2018-11-27,1,RPXOMLMKJINFFDA18CA,2018-10-01,0.98325217
RPOPMLOKKINFFDA67CA,2018-11-27,2,RPWOMLOJJHOFFDA18CA,2018-09-23,0.9734403
RPOPMLOKKINFFDA67CA,2018-11-27,3,RPQNMLTJKINFFDA08CA,2018-11-11,0.97290593
RPXNMLPLKINFFDA58CA,2018-11-27,1,RPQNMLRKKINFFDA97CA,2018-11-18,0.9771693
RPXNMLPLKINFFDA58CA,2018-11-27,2,RPXOMLKLKINFFDA18CA,2018-11-04,0.9746937
RPXNMLPLKINFFDA58CA,2018-11-27,3,RPXOMLPJKINFFDA48CA,2018-10-26,0.97322744
RPWOMLQKJHOFFDA48CA,2018-11-30,1,RPQPMLQKJINFFDA08DA,2018-10-07,0.9750865
RPWOMLQKJHOFFDA48CA,2018-11-30,2,RPPNMLPJKINFFDA57CA,2018-10-16,0.9725335
RPWOMLQKJHOFFDA48CA,2018-11-30,3,RPSNMLKLJINFFDA47CA,2018-11-02,0.9718592
RPQPMLPLJHOFFDA97CA,2018-12-03,1,RPQPMLQKJINFFDA08DA,2018-10-07,0.9850705
RPQPMLPLJHOFFDA97CA,2018-12-03,2,RPRNMLMKKINFFDA57CA,2018-09-17,0.98276293
RPQPMLPLJHOFFDA97CA,2018-12-03,3,RPQNMLTJKINFFDA08CA,2018-11-11,0.97960913
RPUOMLQKJHOFFDA28CA,2018-12-09,1,RPQPMLQKJINFFDA08DA,2018-10-07,0.9860377
RPUOMLQKJHOFFDA28CA,2018-12-09,2,RPRNMLMKKINFFDA57CA,2018-09-17,0.98330283
RPUOMLQKJHOFFDA28CA,2018-12-09,3,RPUOMLMLJINFFDA08DA,2018-06-30,0.98233813
RPPOMLPKKHOFFDA77CA,2018-12-14,1,RPXOMLNLJINFFDA38CA,2018-10-15,0.9784557
RPPOMLPKKHOFFDA77CA,2018-12-14,2,RPOPMLOKKINFFDA67CA,2018-11-27,0.9770445
RPPOMLPKKHOFFDA77CA,2018-12-14,3,RPQNMLTJKINFFDA08CA,2018-11-11,0.9767653
RPQOMLPKKHOFFDA87CA,2018-12-14,1,RPVOMLNKKINFFDA18CA,2018-11-15,0.97602415
RPQOMLPKKHOFFDA87CA,2018-12-14,2,RPOPMLOKKINFFDA67CA,2018-11-27,0.97526926
RPQOMLPKKHOFFDA87CA,2018-12-14,3,RPXOMLNLJINFFDA38CA,2018-10-15,0.9744407
RPVNMLPLJHOFFDA28CA,2018-12-15,1,RPSNMLKLJINFFDA47CA,2018-11-02,0.9715769
RPVNMLPLJHOFFDA28CA,2018-12-15,2,RPPNMLPJKINFFDA57CA,2018-10-16,0.9632664
RPVNMLPLJHOFFDA28CA,2018-12-15,3,RPSOMLRKKINFFDA28CA,2018-09-08,0.9595191
RPSPMLLLJHOFFDA77CA,2018-12-18,1,RPOOMLOKJINFFDA57DA,2018-08-29,0.9936925
RPSPMLLLJHOFFDA77CA,2018-12-18,2,RPUOMLMLJINFFDA08DA,2018-06-30,0.98952913
RPSPMLLLJHOFFDA77CA,2018-12-18,3,RPQNMLSJJHOFFDA87CA,2018-11-06,0.9893658
RPVOMLLMJHOFFDA08CA,2018-12-21,1,RPUQMLOLKINFFDA58DA,2018-09-19,0.9908635
