feature,missing_count,missing_ratio,min,mean,median,max
emb_730d_count,0,0.0,0.0,9.964312949680043,10.0,10.0
emb_730d_median_price,77,0.0008510073938174865,26.733552716500004,66.72623073508736,64.08908850575,169.51635727950003
emb_730d_mean_price,77,0.0008510073938174865,27.425784095500003,67.55164940342887,64.9568901261,169.48958042100003
emb_730d_weighted_mean_price,77,0.0008510073938174865,27.425784095500003,67.55245816562233,64.95468247981006,169.48958042100003
emb_730d_std_price,77,0.0008510073938174865,0.0,12.302242080008355,11.141755535867182,45.99674720302568
emb_730d_nearest_price,77,0.0008510073938174865,20.782478559500003,67.88643514936533,64.33272486025001,175.65586118150003
emb_730d_max_similarity,77,0.0008510073938174865,0.901239812374115,0.9817111916874031,0.9825877845287323,1.0000009536743164
emb_730d_mean_similarity,77,0.0008510073938174865,0.8922922213872274,0.9737557393260101,0.9744053900241851,0.9955882370471955
emb_730d_median_similarity,77,0.0008510073938174865,0.8842883110046387,0.9728616111379066,0.9734987914562225,0.9985774755477905
emb_730d_mean_reranker_score,90481,1.0,,,,
emb_730d_max_reranker_score,90481,1.0,,,,
emb_730d_median_days_diff,77,0.0008510073938174865,1.0,265.2491150834034,255.0,700.0
emb_730d_median_area_diff_pct,77,0.0008510073938174865,0.0,0.328259401325309,0.24105935254665645,11.025091240875913
emb_730d_median_age_diff,6965,0.0769774869862181,0.0027378507871311797,5.856555924280507,3.8658453114305265,44.936344969199176
emb_1095d_count,0,0.0,0.0,9.96747383428565,10.0,10.0
emb_1095d_median_price,70,0.0007736430852886241,26.733552716500004,66.0234801563706,63.40545216775,171.08891920400004
emb_1095d_mean_price,70,0.0007736430852886241,27.425784095500003,66.8669584848977,64.29708849795001,169.48958042100003
emb_1095d_weighted_mean_price,70,0.0007736430852886241,27.425784095500003,66.86770290979048,64.29891321672143,169.48958042100003
emb_1095d_std_price,70,0.0007736430852886241,0.0,12.243359210276093,11.087331217181534,49.49885360139788
emb_1095d_nearest_price,70,0.0007736430852886241,20.905123183,67.22741442368468,63.6340472005,175.65586118150003
emb_1095d_max_similarity,70,0.0007736430852886241,0.901239812374115,0.9821958164554012,0.9831073880195618,1.000001311302185
emb_1095d_mean_similarity,70,0.0007736430852886241,0.8976337790489197,0.9745632885148545,0.9753344297409058,0.9968904435634613
emb_1095d_median_similarity,70,0.0007736430852886241,0.8980817794799805,0.9737045952661476,0.9745096266269684,0.9989032745361328
emb_1095d_mean_reranker_score,90481,1.0,,,,
emb_1095d_max_reranker_score,90481,1.0,,,,
emb_1095d_median_days_diff,70,0.0007736430852886241,1.0,342.69053544369604,301.5,1093.0
emb_1095d_median_area_diff_pct,70,0.0007736430852886241,0.0,0.3195481295960335,0.23372227023912429,11.025091240875913
emb_1095d_median_age_diff,6982,0.07716537173550247,0.0027378507871311797,5.732221493568117,3.754962354551676,44.982888432580424
