feature_group_5,total_gain_importance,total_split_importance,feature_count,gain_share,split_share
Comparable Sales,277780057.7682022,37415.666666666664,50,0.8826080236838575,0.6034784946236559
Housing Attributes,25487814.769407146,15415.4,21,0.08098403464376336,0.24863548387096773
Recent Market Signals,8530237.365008036,7090.333333333333,8,0.02710365892632403,0.11436021505376344
Location and Time,2408339.823062134,1732.4666666666667,7,0.007652169376988744,0.027943010752688173
Note / Quality Flags,519963.7152440389,346.1333333333333,4,0.0016521133690663044,0.005582795698924731
