feature,feature_group,mean_gain_importance,std_gain_importance,mean_split_importance,std_split_importance,gain_share,split_share,rank_gain,rank_split
emb_1095d_weighted_mean_price,embedding_reranker_comparable,34981215.799463905,5318573.071412397,992.7333333333333,48.34617235058406,0.1111480139750969,0.016011827956989248,2,15
emb_730d_weighted_mean_price,embedding_reranker_comparable,21554264.8679718,6046927.6613687845,801.1333333333333,44.21678198969039,0.06848571949305961,0.012921505376344086,4,42
emb_1095d_nearest_price,embedding_reranker_comparable,1435827.9312952678,193000.4924210516,962.6666666666666,56.11552709324202,0.004562146264106882,0.015526881720430107,19,20
emb_1095d_max_reranker_score,embedding_reranker_comparable,1395541.3349182128,171480.864235573,987.4,37.44481654000038,0.004434141131215114,0.015925806451612904,22,16
emb_730d_std_price,embedding_reranker_comparable,1237804.4153533936,205695.398992803,1085.5333333333333,103.39650910566617,0.003932953709923487,0.017508602150537633,24,11
emb_1095d_median_age_diff,embedding_reranker_comparable,1191505.6331303914,178596.24176602124,958.5333333333333,110.49878258325263,0.0037858456813445857,0.015460215053763441,25,21
emb_1095d_std_price,embedding_reranker_comparable,1190510.2557932537,94511.06293554945,1089.2,93.37038380251288,0.0037826830064160498,0.017567741935483872,26,10
emb_730d_median_age_diff,embedding_reranker_comparable,1189674.5698654174,229876.63862942546,949.8,137.33129910652457,0.0037800277290317985,0.015319354838709677,27,24
emb_730d_max_reranker_score,embedding_reranker_comparable,1171175.80842336,115323.85919568302,877.9333333333333,50.15328883485484,0.0037212504524765542,0.01416021505376344,29,35
emb_730d_nearest_price,embedding_reranker_comparable,1163173.4857330322,191433.7384131168,885.0,55.64042723467487,0.0036958241700020774,0.014274193548387097,30,33
emb_1095d_median_days_diff,embedding_reranker_comparable,921062.1401819865,157336.96076374187,932.3333333333334,108.33787536265991,0.002926548585839861,0.015037634408602151,36,28
emb_730d_median_area_diff_pct,embedding_reranker_comparable,875174.7216562907,155462.96648078077,882.0666666666667,99.73211738499911,0.002780747608972347,0.014226881720430108,41,34
emb_730d_median_days_diff,embedding_reranker_comparable,859311.45719045,151929.88157620849,939.2,120.16072569687661,0.0027303442624835453,0.015148387096774194,43,27
emb_1095d_median_area_diff_pct,embedding_reranker_comparable,852590.6245651245,156818.51328442906,869.8,93.68884672147482,0.002708989738877324,0.014029032258064516,44,36
emb_1095d_mean_price,embedding_reranker_comparable,797370.2162226359,245762.46000343104,576.7333333333333,25.024178783918657,0.0025335344673010993,0.00930215053763441,49,57
emb_1095d_mean_reranker_score,embedding_reranker_comparable,757837.175239563,77595.90199159487,685.3333333333334,72.1354545942826,0.002407923653290112,0.011053763440860216,54,48
emb_730d_mean_reranker_score,embedding_reranker_comparable,756519.0729354859,51555.903973979446,672.4666666666667,43.50019157045941,0.002403735564055191,0.010846236559139785,55,50
emb_1095d_median_price,embedding_reranker_comparable,662663.567112732,76243.21886925744,651.4666666666667,44.73232558654823,0.0021055225707553096,0.01050752688172043,59,52
emb_730d_median_price,embedding_reranker_comparable,644880.585081482,75759.16778908325,619.3333333333334,49.75320042349991,0.0020490195850769626,0.009989247311827957,60,54
emb_1095d_max_similarity,embedding_reranker_comparable,610332.706548055,117786.79843925402,616.4,78.61006842092722,0.0019392484408132424,0.009941935483870967,61,55
emb_730d_max_similarity,embedding_reranker_comparable,592409.1004776001,64815.62952846112,622.1333333333333,44.620409594500046,0.0018822986415431558,0.010034408602150538,62,53
emb_730d_median_similarity,embedding_reranker_comparable,569266.3252319336,61797.14289651505,576.0666666666667,48.9248208503424,0.0018087656482597351,0.009291397849462367,64,58
emb_730d_mean_price,embedding_reranker_comparable,556292.6280893962,77947.72901753288,520.2,28.246870876005257,0.0017675435055082094,0.008390322580645163,65,61
emb_730d_mean_similarity,embedding_reranker_comparable,541345.60691274,53326.991369482086,525.0666666666667,49.5039199987041,0.0017200513963673229,0.008468817204301076,66,60
emb_1095d_median_similarity,embedding_reranker_comparable,516122.5864384969,49429.738444142764,534.2666666666667,48.99776476923159,0.0016399087092681427,0.008617204301075269,67,59
emb_1095d_mean_similarity,embedding_reranker_comparable,505166.9978302002,57998.59935837665,508.8,56.26620401524979,0.001605098829510932,0.008206451612903226,68,63
emb_1095d_count,embedding_reranker_comparable,0.0,0.0,0.0,0.0,0.0,0.0,88,86
emb_730d_count,embedding_reranker_comparable,0.0,0.0,0.0,0.0,0.0,0.0,89,86
