feature_group,total_gain_importance,total_split_importance,feature_count,gain_share,split_share
rule_based_comparable,200251018.15454,17094.066666666666,22,0.6362701368632618,0.275710752688172
embedding_reranker_comparable,77529039.61366221,20321.6,28,0.24633788682059557,0.32776774193548386
basic_housing,25487814.769407146,15415.4,21,0.08098403464376334,0.24863548387096773
time_aware_market,8530237.365008036,7090.333333333333,8,0.027103658926324027,0.11436021505376344
location_time,2408339.823062134,1732.4666666666667,7,0.007652169376988743,0.027943010752688173
note_or_quality_flags,519963.7152440389,346.1333333333333,4,0.0016521133690663042,0.005582795698924731
